City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,Makakilo City,21.3469,-158.0858,82.72,59,20,8.05,US,2021-11-08 02:39:35
173,Sitka,57.0531,-135.33,44.49,57,20,6.91,US,2021-11-08 02:38:14
174,Uzhur,55.3036,89.8339,34.07,49,90,13.71,RU,2021-11-08 02:43:12
175,Viedma,-40.8135,-62.9967,56.19,72,49,11.18,AR,2021-11-08 02:43:12
176,Daoukro,7.0591,-3.9631,71.46,98,35,2.53,CI,2021-11-08 02:43:13
177,Morehead,37.2711,-87.1764,48.83,87,1,0.0,US,2021-11-08 02:43:13
178,Birobidzhan,48.8,132.95,29.98,40,100,4.25,RU,2021-11-08 02:43:13
179,Poum,-20.2333,164.0167,76.05,79,90,15.73,NC,2021-11-08 02:34:21
180,Richards Bay,-28.783,32.0377,70.05,96,100,3.38,ZA,2021-11-08 02:43:14
181,Aksarka,66.5606,67.7975,16.74,93,100,6.6,RU,2021-11-08 02:43:14
182,Mahebourg,-20.4081,57.7,76.24,83,40,8.05,MU,2021-11-08 02:35:22
183,Alexandria,31.2156,29.9553,67.96,88,0,0.0,EG,2021-11-08 02:43:15
184,Arraial Do Cabo,-22.9661,-42.0278,70.18,73,68,5.37,BR,2021-11-08 02:35:31
185,Adrar,20.5022,-10.0711,69.03,26,100,6.71,MR,2021-11-08 02:38:26
186,Hay River,60.8156,-115.7999,28.38,86,90,11.5,CA,2021-11-08 02:36:34
187,Honiara,-9.4333,159.95,85.57,69,61,5.08,SB,2021-11-08 02:43:13
188,Angoche,-16.2325,39.9086,71.76,94,8,7.54,MZ,2021-11-08 02:39:39
189,Longyearbyen,78.2186,15.6401,13.84,67,75,3.44,SJ,2021-11-08 02:40:59
190,Paamiut,61.994,-49.6678,18.72,66,8,6.17,GL,2021-11-08 02:43:16
191,Alofi,-19.0595,-169.9187,78.69,78,54,12.66,NU,2021-11-08 02:40:51
192,Asau,46.4333,26.4,51.76,86,100,5.77,RO,2021-11-08 02:36:52
193,Egvekinot,66.3167,-179.1667,0.45,79,20,0.83,RU,2021-11-08 02:37:57
194,Portland,45.5234,-122.6762,48.15,92,90,5.99,US,2021-11-08 02:36:42
195,Harper,4.375,-7.7169,78.53,87,100,5.75,LR,2021-11-08 02:43:17
196,Vanimo,-2.6741,141.3028,86.56,66,51,9.66,PG,2021-11-08 02:40:47
197,Kodiak,57.79,-152.4072,31.55,90,97,12.88,US,2021-11-08 02:39:16
198,Pevek,69.7008,170.3133,8.06,90,100,8.14,RU,2021-11-08 02:39:33
199,Saskylakh,71.9167,114.0833,13.55,93,100,9.26,RU,2021-11-08 02:39:29
200,Pisco,-13.7,-76.2167,65.01,82,0,5.75,PE,2021-11-08 02:40:45
201,Marshall,34.3834,-86.3333,51.55,67,1,3.44,US,2021-11-08 02:43:18
202,Lebu,-37.6167,-73.65,52.59,94,74,9.6,CL,2021-11-08 02:33:53
203,Buraydah,26.326,43.975,59.45,34,0,6.87,SA,2021-11-08 02:41:45
204,Leiyang,26.4024,112.8591,50.22,56,5,7.94,CN,2021-11-08 02:43:20
205,Saint-Philippe,-21.3585,55.7679,72.95,79,40,9.69,RE,2021-11-08 02:35:28
206,Betong,5.7743,101.0723,86.63,63,51,1.59,TH,2021-11-08 02:43:22
207,Nikolskoye,59.7035,30.7861,37.87,97,100,9.73,RU,2021-11-08 02:39:23
208,Dingle,10.9995,122.6711,86.22,75,43,12.17,PH,2021-11-08 02:39:47
209,Caravelas,-17.7125,-39.2481,72.36,83,95,3.42,BR,2021-11-08 02:35:35
210,Brookings,44.3114,-96.7984,48.61,96,1,3.44,US,2021-11-08 02:40:27
211,Vila Velha,-20.3297,-40.2925,71.55,90,90,1.01,BR,2021-11-08 02:43:23
212,Qaanaaq,77.484,-69.3632,2.91,70,55,7.47,GL,2021-11-08 02:37:49
213,Cabinda,-5.55,12.2,77.56,88,93,6.96,AO,2021-11-08 02:43:23
214,Lakselv,70.0513,24.9718,32.76,86,90,9.22,NO,2021-11-08 02:43:23
215,Ariquemes,-9.9133,-63.0408,71.56,98,97,2.26,BR,2021-11-08 02:43:24
216,Komsomolskiy,40.4272,71.7189,36.32,69,75,2.3,UZ,2021-11-08 02:38:04
217,Nanjangud,12.1197,76.6828,74.44,87,99,3.71,IN,2021-11-08 02:43:24
218,Kalmunai,7.4167,81.8167,78.89,80,100,3.85,LK,2021-11-08 02:43:24
219,Tokur,53.1333,132.9,16.11,55,6,2.04,RU,2021-11-08 02:35:14
220,Inuvik,68.3499,-133.7218,18.61,92,90,5.75,CA,2021-11-08 02:34:19
221,Farafangana,-22.8167,47.8333,74.34,86,93,8.9,MG,2021-11-08 02:43:25
222,Turinsk,58.0458,63.696,35.38,91,100,13.13,RU,2021-11-08 02:43:26
223,Nioro,13.35,-15.75,75.04,58,31,5.97,GM,2021-11-08 02:43:26
224,Moundou,8.5667,16.0833,73.54,78,89,3.04,TD,2021-11-08 02:43:27
225,Machado,-21.6747,-45.9197,65.8,88,4,4.61,BR,2021-11-08 02:43:27
226,Bareli,28.35,79.4167,67.5,60,12,2.8,IN,2021-11-08 02:43:27
227,Nantucket,41.2835,-70.0995,53.71,76,90,14.97,US,2021-11-08 02:43:28
228,Turukhansk,65.8167,87.9833,32.65,98,100,18.68,RU,2021-11-08 02:43:28
229,Ust-Kulom,61.6864,53.6902,30.88,93,99,7.99,RU,2021-11-08 02:43:28
230,Noumea,-22.2763,166.4572,84.18,63,57,11.72,NC,2021-11-08 02:41:45
231,Chifeng,42.2683,118.9636,24.44,58,100,26.31,CN,2021-11-08 02:38:27
232,Opuwo,-18.0607,13.84,65.52,38,84,0.6,NA,2021-11-08 02:43:29
233,Banda Aceh,5.5577,95.3222,82.38,78,83,6.33,ID,2021-11-08 02:35:50
234,Grand Gaube,-20.0064,57.6608,76.37,75,21,7.0,MU,2021-11-08 02:39:28
235,Alice Springs,-23.7,133.8833,88.74,38,82,18.72,AU,2021-11-08 02:42:41
236,Rock Sound,24.9,-76.2,75.38,73,100,17.67,BS,2021-11-08 02:43:30
237,Santa Rosa,14.3122,121.1114,87.12,73,53,11.81,PH,2021-11-08 02:43:30
238,Pilar,-9.5972,-35.9567,78.73,95,39,4.63,BR,2021-11-08 02:43:30
239,Ponta Do Sol,32.6667,-17.1,66.83,67,14,6.64,PT,2021-11-08 02:43:30
240,Husavik,66.0449,-17.3389,31.91,97,100,12.48,IS,2021-11-08 02:43:32
241,Pangnirtung,66.1451,-65.7125,15.8,62,1,12.66,CA,2021-11-08 02:36:58
242,Gambiran,-6.7988,111.4951,86.04,64,100,3.87,ID,2021-11-08 02:43:32
243,Brae,60.3964,-1.353,40.91,66,98,3.67,GB,2021-11-08 02:34:06
244,Vuktyl,63.8567,57.3094,30.24,97,100,5.41,RU,2021-11-08 02:43:33
245,Milkovo,54.7167,158.6167,31.23,63,45,5.48,RU,2021-11-08 02:43:33
246,Norden,53.6,7.2,48.0,89,71,18.77,DE,2021-11-08 02:43:34
247,Chuzhou,32.3219,118.2978,43.29,39,0,14.32,CN,2021-11-08 02:43:34
248,Kinkala,-4.3614,14.7644,73.71,97,93,5.5,CG,2021-11-08 02:43:34
249,Mae Sai,20.4335,99.8762,83.44,71,35,1.41,TH,2021-11-08 02:43:35
250,College,64.8569,-147.8028,24.75,90,90,0.0,US,2021-11-08 02:42:20
251,Izazi,-7.2,35.7333,70.63,60,52,3.24,TZ,2021-11-08 02:43:35
252,Sainte-Rose,16.3324,-61.6979,73.44,94,0,0.0,GP,2021-11-08 02:43:35
253,Hamilton,39.1834,-84.5333,51.78,71,1,0.0,US,2021-11-08 02:39:12
254,Puerto Madero,14.7208,-92.4215,79.0,100,75,0.0,MX,2021-11-08 02:43:37
255,Yeppoon,-23.1333,150.7333,87.58,63,79,12.77,AU,2021-11-08 02:43:37
256,Sena Madureira,-9.0656,-68.6569,72.28,99,99,1.32,BR,2021-11-08 02:43:38
257,Mount Isa,-20.7333,139.5,85.77,58,53,10.36,AU,2021-11-08 02:43:38
258,Narsaq,60.9167,-46.05,30.42,81,100,1.95,GL,2021-11-08 02:43:38
259,Hofn,64.2539,-15.2082,39.18,98,100,14.0,IS,2021-11-08 02:43:39
260,Port Hedland,-20.3167,118.5667,84.25,54,30,18.41,AU,2021-11-08 02:35:32
261,Provideniya,64.3833,-173.3,17.71,73,75,4.47,RU,2021-11-08 02:43:39
262,Mildura,-34.2,142.15,69.08,37,67,6.91,AU,2021-11-08 02:40:53
263,Marsh Harbour,26.5412,-77.0636,75.54,73,53,17.54,BS,2021-11-08 02:35:30
264,Vodnyy,63.5046,53.4095,27.45,94,100,6.06,RU,2021-11-08 02:43:40
265,Coahuayana,18.7333,-103.6833,76.73,87,100,2.1,MX,2021-11-08 02:43:40
266,Kastamonu,41.5,33.6667,51.12,74,95,0.13,TR,2021-11-08 02:43:40
267,Bentiu,9.2333,29.8333,76.82,54,14,2.19,SS,2021-11-08 02:43:41
268,Batemans Bay,-35.7167,150.1833,78.98,86,92,7.94,AU,2021-11-08 02:43:41
269,Freeport,40.6576,-73.5832,53.56,65,1,0.0,US,2021-11-08 02:43:42
270,Montlucon,46.3333,2.6,46.71,98,99,4.25,FR,2021-11-08 02:43:42
271,Kavieng,-2.5744,150.7967,85.12,69,9,16.87,PG,2021-11-08 02:35:43
272,Visby,57.6409,18.296,41.86,75,75,19.57,SE,2021-11-08 02:43:43
273,Cantagallo,7.376,-73.9196,74.05,97,100,1.9,CO,2021-11-08 02:43:43
274,Sur,22.5667,59.5289,76.3,56,0,1.88,OM,2021-11-08 02:35:09
275,Funtua,11.5233,7.3081,72.12,26,39,4.88,NG,2021-11-08 02:43:43
276,Pangoa,-12.1167,-73.0,68.58,99,100,1.3,PE,2021-11-08 02:34:05
277,Nan,18.8333,100.6667,75.22,88,20,0.0,TH,2021-11-08 02:43:44
